pzn;categories;enabled;family;parent;groups;X_SELL-groups;X_SELL-products;X_SELL-product_models;UPSELL-groups;UPSELL-products;UPSELL-product_models;SUBSTITUTION-groups;SUBSTITUTION-products;SUBSTITUTION-product_models;PACK-groups;PACK-products;PACK-product_models;setzugehoerigkeit-groups;setzugehoerigkeit-products;setzugehoerigkeit-product_models;ean_gtin
11675066;all_articles,nagelfeile0fuer0naturnaegel;1;abda_artikel;;;;;;;;;;;;;;;;;;04009839132537
01805295;all_articles,verbandsmaterial0pflaster0wundschnellverband;1;abda_artikel;;;;;;;;;;;;;;;;;;04021447926742
15239770;all_articles,mund0und0zaehne0zahnpflegeprodukte0zahnbuersten0reisezahnbuersten;1;abda_artikel;;;;;;;;;;;;;;;;;;04007965012754
13503056;all_articles,mund0und0zaehne0zahnprothesenpflege0produkte0haftcreme0ohne0zink;1;abda_artikel;;;;;;;;;;;;;;;;;;09002240001251
12576308;all_articles,kind0und0familie0mamagesundheit0stillzeit0schnuller0neugeborene;1;abda_artikel;;;;;;;;;;;;;;;;;;04008600259886
13889073;all_articles,eucerin0allergie,eucerin0empfindliche0haut,eucerin0mutter0und0kind,gesichtspflege0gesichtspflege0hauttyp0trockene0haut,koerperpflege0nach0hauttypen0trockene0haut,nachhaltigkeit0kosmetik0ohne0tierversuche;1;abda_artikel;3349349700;3349349700;;;;;;;;;;;;;;;;04005800196508
05960130;all_articles,mund0und0zaehne0zahnpflegeprodukte0zahnpasta0fluorid,mund0und0zaehne0zahnpflegeprodukte0zahnpasta0ohne0plastik;1;abda_artikel;;;;;;;;;;;;;;;;;;04040513650053
12439965;all_articles,verbandsmaterial0pflaster0wundverband;1;abda_artikel;3351759800;;;;;;;;;;;;;;;;;04005800172083
00721863;all_articles,aromatherapie;1;abda_artikel;;;;;;;;;;;;;;;;;;04086900100794
09913015;all_articles,handpflege0handbalsam;1;abda_artikel;;;;;;;;;;;;;;;;;;00000042233145
16391913;all_articles,bach0original0rescue0original,bachblueten0mischungen,original0rescue0produkte;1;abda_artikel;;;;;;;;;;;;;;;;;;05000488301830
16391936;all_articles,bach0original0rescue0original,bachblueten0mischungen,original0rescue0produkte;1;abda_artikel;;;;;;;;;;;;;;;;;;05000488301861
00411223;all_articles,nagelpflege0nagelpflegelack;1;abda_artikel;;;;;;;;;;;;;;;;;;00000030079915
02483557;all_articles,mund0und0zaehne0zahnpflegeprodukte0zahnseide0sonstige;1;abda_artikel;;;;;;;;;;;;;;;;;;07612412820003
01020275;Verbandsmaterial0spezialverbaende0schlauchverband,all_articles;1;abda_artikel;;;;;;;;;;;;;;;;;;04021447240244
05995298;all_articles,fusspflegeprodukte0blasenpflaster0compeed;1;abda_artikel;;;;;;;;;;;;;;;;;;03574660127393
13722551;all_articles,haare0trockenshampoo,vegane0pflege;1;abda_artikel;3352232000;;;;;;;;;;;;;;;;;07621500209026
